drone,m0,m1,m2,m3,heat_m0,heat_m1,heat_m2,heat_m3,jumps_m0,jumps_m1,jumps_m2,jumps_m3,adj_uav_00_02,adj_uav_01_00,adj_uav_01_01,adj_uav_01_02,adj_uav_01_03,adj_uav_01_04,adj_uav_02_00,adj_uav_02_01,adj_uav_02_02,adj_uav_02_03,adj_uav_02_04,adj_uav_03_01,adj_uav_03_02,adj_uav_03_03,adj_uav_03_04,adj_uav_04_03
uav_00_02,0,0,0,0,1.0,1.0,1.0,1.0,2,1,1,2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uav_01_00,0,0,0,0,1.0,1.0,1.0,1.0,1,1,2,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uav_01_01,0,1,0,0,1.0,1.0,1.0,1.0,1,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uav_01_02,0,0,0,0,1.0,1.0,1.0,1.0,1,1,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uav_01_03,0,0,1,0,1.0,1.0,1.0,1.0,1,2,0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
uav_01_04,0,0,0,0,1.0,1.0,1.0,1.0,1,2,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
uav_02_00,0,0,0,1,1.0,1.0,1.0,1.0,1,1,2,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uav_02_01,1,0,0,0,1.0,1.0,1.0,1.0,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uav_02_02,0,0,1,0,1.0,1.0,1.0,1.0,1,1,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
uav_02_03,0,0,0,1,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
uav_02_04,1,0,0,0,1.0,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
uav_03_01,0,0,0,0,1.0,0.0,1.0,1.0,1,-1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
uav_03_02,0,0,0,0,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
uav_03_03,0,1,0,0,1.0,1.0,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
uav_03_04,0,0,0,0,1.0,1.0,1.0,1.0,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
uav_04_03,0,0,0,0,1.0,1.0,1.0,1.0,2,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
